Case	Rho
1	02bbb632-0f7f-439d-b8f0-c86a06237424	0.967269126573209
2	05135396-df5c-49db-b34e-f4add5b65a2b	0.936665054379616
3	0bc5744c-5fa3-45bb-87d0-70a02068b392	0.945286699565167
4	14267783-5624-4fe5-ba81-9d67f1017474	0.938981260207647
5	1783cac1-253a-40af-a9ac-48dfb20e1ab8	0.949279618170764
6	17baef7c-d97d-4b98-ab53-503ef856523d	0.952027497952143
7	18eb4dfc-556f-4bf3-a411-4780209ed1e0	0.944635486547
8	2021ed1f-dc75-4701-b8b8-1386466e4802	0.926083533036233
9	20e8106b-1290-4735-abe4-7621e08e3dc8	0.951503098424263
10	214a4507-d974-4b3e-8525-7408fccc6a0f	0.952793626927301
11	21ef1730-e5a7-47ce-b419-d000bb59ae15	0.922088049663121
12	233b02f3-c4f0-4a67-9db5-e68d5cdaccb6	0.871177191240383
13	24334ac1-28a3-4b61-b590-3f51e375b247	0.918771233554158
14	2680da86-c977-4611-b75f-df015283c023	0.948800832353562
15	2b22db1d-54a1-4b9e-a86e-a174cf51d95c	0.935660376063739
16	327a2395-85c8-42e1-9638-8e037a1723ed	0.923087004654886
17	33fe5833-d7a0-43d7-a03d-56985ea448a6	0.80125723937665
18	3c8b5af9-c34d-43c2-b8c9-39ea11e44fa6	0.944017442134559
19	3ca67cd0-81da-4f68-a9fa-f1a8c013c28d	0.944523324014894
20	408cb583-6dc3-4698-8bd2-e284042bd5ef	0.882626700144573
21	417dea5f-f68e-4dab-940e-43ae8c67e5e6	0.945436270433503
22	433427a1-bacf-4381-91ba-5fec8a0953f9	0.921515590505561
23	4510295e-8aa7-4ef1-b2b7-91cc902f8200	0.907719927634596
24	491b6364-1223-474f-816f-e248c8c841e2	0.918279964312646
25	4a032bad-e726-48f2-8f39-e3acc109cc91	0.948772239741783
26	4aa68586-6331-4795-b40c-859386640df6	0.898341462915024
27	50619f8c-10aa-464a-a227-90a7aa6ffd43	0.810155068508087
28	518f231c-f5f9-4a39-a97b-7fd5666d3e50	0.925391396203811
29	5258294f-ef5b-4091-9183-6bcc545d54b2	0.897437999432288
30	557cb0a3-6f1b-4faf-8296-0a15c24158f9	0.949375471534021
31	59be60a3-e0f6-4d63-b98c-574ef92428c4	0.921958801631619
