file_name,cases.0.samples.0.submitter_id,cases.0.case_id,id
f966cb98-e661-453d-b1ae-aacf5876520a.htseq.counts.gz,TCGA-C8-A1HM-01A,8b525ec6-d24b-49d4-bfcb-b354de4dae7c,9ddd6922-fd1f-433d-8a86-da4eeb12ca3b
c98b8334-836a-4c3c-b149-b08a7256aa68.htseq.counts.gz,TCGA-AN-A046-01A,dcd5860c-7e3a-44f3-a732-fe92fe3fe300,da82fd45-19b4-439e-9faa-5ef9c8df764f
ec9d9157-c6eb-4bbe-acba-c5f45678ac3e.htseq.counts.gz,TCGA-BH-A0DE-01A,7f0bbba1-9bc3-45db-bdda-eb3319bb15d2,63434097-5ed0-435b-9df5-940154e4a72a
95c75be7-d55d-4d74-9179-9be223230a5b.htseq.counts.gz,TCGA-BH-A0HK-01A,24334ac1-28a3-4b61-b590-3f51e375b247,5ebea417-c5a4-45d4-9223-d62aba478345
42866dc5-1fed-4d60-9177-9ad8e4ae8168.htseq.counts.gz,TCGA-A8-A08T-01A,32bc7cc4-d185-4594-bbee-4b96410be512,186d4fe5-343b-4950-b518-a3c8648495c5
6e2570b0-fc95-4ba9-a8a5-b79f6dea0246.htseq.counts.gz,TCGA-A7-A0DB-01C,f130f376-5801-40f9-975d-a7e2f7b5670d,c828ab83-ca89-4f6b-8df3-3c71de5a2153
082418be-42c4-4717-95f4-755ed21d4366.htseq.counts.gz,TCGA-A2-A0YD-01A,2c6adb12-380d-4710-a7e6-93d5a0e53289,db17d43d-40e3-4fc3-9c3f-c01089b3521d
5bc7e90d-0fa4-4bde-bee8-4f9b92de03a2.htseq.counts.gz,TCGA-BH-A18L-01A,9ddc3e7b-8b54-4a83-8335-8053940f56c1,fe04d4a7-3199-4a3c-8fa7-52f6372bdeaf
8d54214a-1d9b-4fea-9c42-5bbb3cd11da9.htseq.counts.gz,TCGA-D8-A1XU-01A,332148f5-f070-4c20-8eb1-4d8c0673aa52,754e6f3e-9441-423b-8530-b4d95a93253f
79c1a9c6-a12e-4e12-8acd-52a8ea0f9dea.htseq.counts.gz,TCGA-AN-A0XL-01A,4649dee3-b668-44cd-ab97-3834de3ef8f8,048e5e34-ab11-43d6-9788-771502d99152
82cc9906-3664-4b13-bdb6-405db9d15e31.htseq.counts.gz,TCGA-A8-A07S-01A,a20fa2c4-a502-47e3-bfaa-2ec4cce3a859,2a555bc1-355a-4b45-b325-570e1035de88
67943973-e57a-4285-bd6e-995053d23fe0.htseq.counts.gz,TCGA-AN-A0AL-01A,3e9f93c0-aa79-4b4c-bd6c-b3325912362a,832ad863-8d98-4797-bf92-4020f035dd0a
e6981360-42ea-402a-aead-f6f2b31ef30c.htseq.counts.gz,TCGA-E9-A1R0-01A,f2da1d3f-f226-4c99-a97e-9b26f67d7a5d,c208005f-0b6f-4c14-9267-b3a582a0dcba
da8cb4c3-4599-41d8-9f1e-6854d9996435.htseq.counts.gz,TCGA-AN-A0AK-01A,9e894662-b718-40f8-8899-b5e036cfbd76,8ccfb23c-bf7a-4c16-a97d-f44a32ecc537
fd168f37-df3d-4cf2-881e-c90c61c95fdb.htseq.counts.gz,TCGA-BH-A0E9-01B,76ace6aa-0505-442c-978a-f889cf2d44bb,a8ebea86-3b3e-4e0d-839e-709c44c394a3
f5a07ef3-d47e-4c6f-8ed4-13c0b03f7673.htseq.counts.gz,TCGA-AR-A1AO-01A,623befd6-0ca4-4a6c-9cf5-d9385c3b718f,78ec8593-92e5-49b1-a0aa-7ecf552723cb
d8fea32d-3ef0-4d7b-8b3e-7619ec2ad987.htseq.counts.gz,TCGA-D8-A1JS-01A,0d03055c-186b-418a-b614-e2035757bc3b,00c05634-5eb9-4555-885c-4b24cfc0c8fa
8ef08961-b69c-481b-ba38-205bff347775.htseq.counts.gz,TCGA-C8-A27A-01A,3b1f7e48-216d-47de-ba79-db350f52bff0,6c6cb8fc-39b6-4b22-b40b-90d61260c5e5
eaa01a14-f563-4076-8696-9064c9397e6a.htseq.counts.gz,TCGA-A2-A0YT-01A,14b95463-2108-4921-afc2-e29eef52b18f,5a049a36-7b52-4ab6-a821-586d7058c570
a62f2229-21de-4876-9735-062659ccdcbf.htseq.counts.gz,TCGA-A2-A04Y-01A,9ce7ce09-4409-4fa3-9f78-b2b24716f860,bf53da30-6b9a-41cc-ada0-3a2c7c0547be
e58d8f68-0808-4a7b-b6b5-65d90c82875d.htseq.counts.gz,TCGA-BH-A0EA-01A,1f601832-eee3-48fb-acf5-80c4a454f26e,3bb05030-38af-4cfc-b9a5-583de47e3f4a
