file_name,cases.0.samples.0.submitter_id,cases.0.case_id,id
f50438de-b313-4b2e-97e1-302cdfb9d9d7.htseq.counts.gz,TCGA-E9-A1RH-11A,408cb583-6dc3-4698-8bd2-e284042bd5ef,ebd3bfb2-d664-4731-9fa4-9c784317e05c
edea4e5b-ad4d-4a0b-9656-3d82d4a24698.htseq.counts.gz,TCGA-BH-A0DQ-11A,a851ca14-7bbf-455b-a054-ec03979a4247,59602a3b-cdde-4b21-b220-1bd3ac8f33f0
60cc2580-b21c-4526-ab37-e5dadb4fa9b7.htseq.counts.gz,TCGA-BH-A1ET-11B,8986a141-eae7-4157-b695-02cc6fc3b071,b7fda5e6-ac95-4d80-9d5d-653bf871b156
b504f2d6-3354-4b56-9238-bf58fcf4185a.htseq.counts.gz,TCGA-E2-A15M-11A,59be60a3-e0f6-4d63-b98c-574ef92428c4,1e97e830-1923-494c-9091-9635b6eabaf9
9570c964-8d26-4280-97b7-43ebc45a3b58.htseq.counts.gz,TCGA-BH-A18L-11A,9ddc3e7b-8b54-4a83-8335-8053940f56c1,a03b2408-5db4-40b3-b35a-56f931e66c6d
a0c9781b-0c1e-4dc0-a3f6-84e938b07641.htseq.counts.gz,TCGA-E2-A1LS-11A,91a2f2af-e4b1-4a0b-ab20-6a36ce63c533,f173ccd0-97e3-4c46-93b3-c05ba362350c
019a5486-ad80-44b4-a9e3-7e7f93e8e6fa.htseq.counts.gz,TCGA-BH-A209-11A,5258294f-ef5b-4091-9183-6bcc545d54b2,b6f3fd36-f3be-40b7-b79e-bdeae93a1ecf
c3ed7c7a-b80a-4de2-8dfb-b60bcf336375.htseq.counts.gz,TCGA-BH-A0H7-11A,2021ed1f-dc75-4701-b8b8-1386466e4802,0bcdef87-7c2c-4c26-a30a-7cefee80d0ca
0d38dab7-b983-4829-9a5b-d79f0fee6f26.htseq.counts.gz,TCGA-BH-A1FR-11B,bf3b1481-ae31-4406-b084-b6cc1d7163e3,c50b8908-8ce9-4e5b-90bc-964201161d7d
b07b373c-29e1-4e88-a3a9-783568cc12eb.htseq.counts.gz,TCGA-E9-A1RC-11A,5cdae21d-eee5-478f-932a-0f51fcf5f031,d2d3f510-a56b-4fa7-b8ea-87b9d6082423
7bca938a-45fa-4a07-ba7b-71796388e645.htseq.counts.gz,TCGA-A7-A0DB-11A,f130f376-5801-40f9-975d-a7e2f7b5670d,3560fd9a-f134-4e95-ae7e-efc75ad33b3e
fe6c451e-0747-4a02-9d35-59d0a9f4a468.htseq.counts.gz,TCGA-BH-A0DK-11A,f2bbfa9d-9a9d-4f46-9fde-378e4c44e2ad,f9099347-6224-4cf5-b3f0-f0c641300959
49c4c177-b1d5-42e3-acaa-bfa4f6982437.htseq.counts.gz,TCGA-BH-A0DG-11A,0bc5744c-5fa3-45bb-87d0-70a02068b392,f9c95398-ddb2-417c-922e-47004d480cf8
5d4c3e4c-0f1b-4e23-af3a-7644cab6c70f.htseq.counts.gz,TCGA-BH-A0DO-11A,d3d4d709-ab34-4617-aa8c-51a3d0a3efe6,40bb5f8c-33ba-4ad2-871f-b5b1fb6f08f9
d5f0ea64-6660-49ac-a37e-3cd747045147.htseq.counts.gz,TCGA-GI-A2C8-11A,33fe5833-d7a0-43d7-a03d-56985ea448a6,0bf50119-afec-41f8-8b89-262dfb8c3a53
47f0749e-01c7-4d8c-8926-06293c4a9b4e.htseq.counts.gz,TCGA-BH-A0DP-11A,14267783-5624-4fe5-ba81-9d67f1017474,7cdbaa5c-c793-4551-baee-dbdf8d911c74
ecbe1717-b6b7-4359-b723-3bfc81c82f2d.htseq.counts.gz,TCGA-E9-A1RD-11A,5fe3c51f-65e2-4da6-8924-a6fae17c022d,9947ce54-fc42-4f49-878d-00c1de395cd5
b85e2c85-8baa-4c95-9d23-84d77c1e2c48.htseq.counts.gz,TCGA-BH-A203-11A,b3264748-947a-43aa-b227-b294fbcc8447,7ed0402e-b4e8-4b0c-aed0-5ffe04510dc0
40633fb7-6665-4897-ba2d-76502e35dcd7.htseq.counts.gz,TCGA-BH-A0C0-11A,7875018b-91dc-4ab1-83b0-ee3883e2816e,74834efb-9c43-4e7d-b9b7-5711ed83d25a
cbb39a6a-61e7-4295-b712-daf6af43dc82.htseq.counts.gz,TCGA-BH-A18U-11A,233b02f3-c4f0-4a67-9db5-e68d5cdaccb6,412833cd-21e4-431f-8b9a-85585c81f551
b1e5ed14-a40e-41a1-b424-a6765ed70286.htseq.counts.gz,TCGA-BH-A1FJ-11B,f6581eee-61b9-43d4-ab0d-ce5ce3ba1c74,6ec0bde3-fa24-4eca-ac03-6ace0c331dc1
f5d3e683-9177-45fc-93e3-357bf7366ac4.htseq.counts.gz,TCGA-E9-A1RF-11A,c694615c-b1c6-499c-8058-995633ebf948,e8016e2b-8523-4faf-a967-d66cb09e3697
01f17467-b7de-49d4-a9d7-00108f4de1f9.htseq.counts.gz,TCGA-E2-A158-11A,a6edb6ca-ae9f-4da7-8ebe-92d83d2987fb,d9d616a6-eafd-43ca-8216-1be6a71fa0c2
8ab96801-8d29-476a-908a-7a99f11f713d.htseq.counts.gz,TCGA-BH-A1F2-11A,6a2972e3-cca9-47e5-aac0-b770f2399eeb,716cac6b-0e27-4f33-8b18-6e79f04c46b1
98921931-2f32-470d-97ae-824716d1c034.htseq.counts.gz,TCGA-E2-A15I-11A,64089c20-939f-48b4-ae8b-904ad0597145,92855612-674b-4a51-84fb-f8641c7921c2
9151bbcc-ecef-40fc-8834-e24ff848e1a2.htseq.counts.gz,TCGA-BH-A0C3-11A,7bcf6d42-eb8f-4aa2-825b-38671d4f9e3a,2a1ad552-6622-4e0c-85c5-a3af9d30134a
2eeb46a1-0422-4a77-b58d-3b7d57d51b44.htseq.counts.gz,TCGA-BH-A0H5-11A,cab38ea8-4555-413c-b81e-4621aac4ef85,0168550b-f361-49e2-832e-913e9e783240
54a62dcd-c9a6-4a97-85c9-62e364766fca.htseq.counts.gz,TCGA-BH-A0BT-11A,a32cb96a-78bf-456e-a6ab-2d47b2c67ad4,091a502c-544e-421b-8024-62a4807cccf5
96ddce60-2be5-4f57-814b-35722aa00fd9.htseq.counts.gz,TCGA-BH-A0AZ-11A,518f231c-f5f9-4a39-a97b-7fd5666d3e50,d45a9e29-bb66-4282-bd40-dbe273c93d6f
